model,nodes,vertices,features,time,exp_type
va,1,2097152,128,216.3834388256073,VA_DIST_SAMPLE
agnn,2,131072,128,0.4337706565856933,AGNN_DIST
agnn,2,131072,128,1.429260015487671,AGNN_DIST_SAMPLE
gat,2,131072,128,1.2401857376098633,GAT_DIST
gat,2,131072,128,1.831625699996948,GAT_DIST_SAMPLE
va,2,131072,128,0.3135123252868652,VA_DIST
va,2,131072,128,1.4542090892791748,VA_DIST_SAMPLE
agnn,2,262144,128,1.677394151687622,AGNN_DIST
agnn,2,262144,128,4.923186779022217,AGNN_DIST_SAMPLE
gat,2,262144,128,3.9671273231506343,GAT_DIST
gat,2,262144,128,5.571484327316284,GAT_DIST_SAMPLE
va,2,262144,128,1.7551889419555664,VA_DIST
va,2,262144,128,4.696130752563477,VA_DIST_SAMPLE
agnn,2,1048576,128,6.038358688354492,AGNN_DIST
agnn,2,1048576,128,29.176167726516724,AGNN_DIST_SAMPLE
gat,2,1048576,128,26.0395827293396,GAT_DIST
gat,2,1048576,128,29.915119886398315,GAT_DIST_SAMPLE
va,2,1048576,128,5.555506229400635,VA_DIST
va,2,1048576,128,29.894955158233643,VA_DIST_SAMPLE
agnn,2,2097152,128,22.655319213867188,AGNN_DIST
agnn,2,2097152,128,101.90213298797607,AGNN_DIST_SAMPLE
va,2,2097152,128,18.362347841262817,VA_DIST
va,2,2097152,128,101.28818726539612,VA_DIST_SAMPLE
agnn,4,262144,128,0.6492969989776611,AGNN_DIST
agnn,4,262144,128,2.0932164192199707,AGNN_DIST_SAMPLE
gat,4,262144,128,2.0788044929504395,GAT_DIST
gat,4,262144,128,2.898045539855957,GAT_DIST_SAMPLE
va,4,262144,128,0.9532091617584229,VA_DIST
va,4,262144,128,2.213530778884888,VA_DIST_SAMPLE
agnn,4,2097152,128,32.41305899620056,AGNN_DIST
agnn,4,2097152,128,45.38212323188782,AGNN_DIST_SAMPLE
va,4,2097152,128,33.471471309661865,VA_DIST
va,4,2097152,128,45.762226581573486,VA_DIST_SAMPLE
agnn,4,131072,128,0.3560290336608886,AGNN_DIST
agnn,4,131072,128,0.8754594326019287,AGNN_DIST_SAMPLE
gat,4,131072,128,0.723360538482666,GAT_DIST
gat,4,131072,128,1.1590557098388672,GAT_DIST_SAMPLE
va,4,131072,128,0.4980688095092773,VA_DIST
va,4,131072,128,0.8993873596191406,VA_DIST_SAMPLE
agnn,4,1048576,128,4.922217845916748,AGNN_DIST
agnn,4,1048576,128,13.61925458908081,AGNN_DIST_SAMPLE
gat,4,1048576,128,12.562017679214478,GAT_DIST
gat,4,1048576,128,14.115371227264404,GAT_DIST_SAMPLE
va,4,1048576,128,9.658010721206663,VA_DIST
va,4,1048576,128,12.996357917785645,VA_DIST_SAMPLE
agnn,8,262144,128,0.5154683589935303,AGNN_DIST
agnn,8,262144,128,1.359179973602295,AGNN_DIST_SAMPLE
gat,8,262144,128,1.1962883472442627,GAT_DIST
